Company Name,Address,email,Contact Number,Website
Confidence Group,"Unique Trade Center, Level 6,
08 Panthapath, Karwan Bazar, Dhaka-1215, Bangladesh. ", info@cg-bd.com,"880-9102543,",https://www.confidencegroup.com.bd
Opsonin Pharma. A,"Opsonin Building, 30, New Eskaton Road
Dkhaka 1000, Bangladesh.",info@opsonin-pharma.com,880-2-9332262,http://www.opsonin-pharma.com
Incepta Pharmaceuticals Ltd.,"40 Shahid Tajuddin Ahmed Sarani
Tejgaon I/A, Dhaka-1208. Bangladesh",info@inceptapharma.com,88 02) 8891688 - 703,http://www.inceptapharma.com/
Eskayef Pharmaceuticals Ltd.,"Gulshan Tower
Plot No. 31 Road No. 53
Gulshan North C/A
Dhaka-1212, Bangladesh. ",pharmacovigilance.query@skf.transcombd.com ,"8818327, 8814662 ",http://www.skfbd.com/
Rupayan Group,"RUPAYAN CENTRE (3rd, 4th, 5th, 7th, 9th, 13th, 14th, 17th, 18th, 21st Floor), 72, Mohakhali, C/A, Dhaka-1212",info@rupayangroup.com,02 9862573,www.rupayangroup.com
Eastern Housing Ltd.,"59/B, Kemal Ataturk Avenue, Banani, Dhaka-1213.",info@easternhousing.com,55033669,www.easternhousing.com
Biman Bangladesh Airlines Ltd.,"Biman Bangladesh Airlines LTD.
Head Office, ""BALAKA"", Kurmitola, Dhaka-1229, Bangladesh",dgmgs@bdbiman.com,88-02-8901500-22,https://www.biman-airlines.com
ACI Motors Limited,"ACI Centre, 245 Tejgaon Industrial Area, Dhaka 1208.",info@acimotors-bd.com,,https://acimotors-bd.com
KOHINOOR CHEMICAL CO. (BD) LTD,"Orion House, 153-154, Tejgaon I/A,
Dhaka -1208, Bangladesh.",,880-2-8891267-70,http://www.kohinoor-bd.com
Kazi Farms Group™,"Ahmed Kazi Tower, House-35, Road-02, Dhanmondi, Dhaka-1205 ", info@kazifarms.com,9612184,http://www.kazifarms.com
"
Partex Properties
","    House 14, Road 3, Block I,
    Banani, Dhaka",properties@partex.net,017.5560.7330,http://www.partexproperties.com
 Labaid Group.,"House# 01, Road# 04, Dhanmondi, Dhaka 1205",  info@labaidgroup.com,88 02 58610793-8,www.labaidgroup.com
Crown Cement Group (CCG),"Delta Life Tower (3rd & 6th floor), Plot # 37 Rd No 90, Dhaka 1212",info@crowncement.com,"01730709005,",https://crowncement.com
Shohag Group,"63 Malibagh,DIT Road,Shahid Faruk Taslim Sarak; 1217 Dhaka, Bangladesh",,,http://www.shohagh.biz/
Bangladesh Telecommunications Company Ltd. (BTCL),"Telejogajog Bhaban, 37/E, Eskaton Garden
Dkaka-1000, Bangladesh.",ddt@btcl.net.bd,9320080-3,http://www.btcl.com.bd/en
Daffodil Computers Ltd,"64/3 Lake Circus, Kalabagan
Mirpur Road, Dhaka 1205, Bangladesh ",secretary@daffodil-bd.com,8802 9116600,http://www.daffodil-bd.com/
"Navana Furniture, Head Office","House # 16/B, Road # 93, Gulshan 2, Dhaka 1212",info@navanafurniture.com.com,1713156840,http://www.navanafurniture.com
Beximco Synthetics Ltd.,"Kabirpur, Savar, Dhaka
Bangladesh",,88 02 7701168-70,http://www.beximcosynthetics.com/
Akij Group,"198 Bir Uttam Mir Shawkat Sarak Gulshan Link Road, Tejgaon, Dhaka-1208","Info.akijcement@akij.net
",8801711555061,https://www.akijcement.com/
Argon Denims Ltd. ,"Plot-33, section 7, Mirpur.
Dhaka-1216, Bangladesh.",info@argondenims.com,88 02 9004405,http://www.argondenims.com
Keya Group ,"PriyoPrangon
House- 19, Road 17, 6th floor
Kamal Atarurk Avenue, Banani , Dhaka",kgroup@keya-bd.com,880-2-9897734,http://www.keyagroupbd.com
"

Maksons Group","House # 17, Road # 6, Sector # 1,Uttara Model Town, Dhaka 1230, Bangladesh",info@maksonsgroup.com.bd,8802 8933612,http://www.maksonsgroup.com.bd
The Linde Group ,"285 Tejgaon Industrial Area
Dhaka – 1208
Bangladesh",info.bd@linde.com,880.2.8870322-27 ,http://www.linde.com.bd
"C.P. BANGLADESH CO., LTD","Holding No : E-236, Ward No : 007, Chandra, Kaliakoir, Gazipur",info@cpbangladesh.com,,http://www.cpbangladesh.com
CARE Bangladesh ,"RAOWA Complex (Level 7-8), VIP Road, Mohakhali, Dhaka -1206, Bangladesh ",bgdinfo@care.org,9889122,http://www.carebangladesh.org
Hyperion Builders Ltd.,"
House:02, Road:04, Block:A, Section:10,
Mirpur, Dhaka-1216, Bangladesh",info@hyperion-bd.com,88 01613 174174,https://www.hyperion-bd.com/
,,,,http://www.assuregroupbd.com/
ANANDA GROUP  ,"10/1 (9th Floor), City Heart, 
67 Nayapaltan, Dhaka – 1000, Bangladesh",,9331510,www.anandagroup.com
Habib Group,"HG Tower , 1182 Jubilee Road ,
Chittagong, Bangladesh",,"88-031-2868204-7,2868841-3",http://www.habibgroupbd.com/
Aarong,"B, Link Road, 346 Bijoy Sarani - Tejgaon Link Rd, Dhaka 1208",,02-8891418,https://www.aarong.com/
Ananta Companies,"Dhaka Corporate OfficeHouse 2, Road 10, Sector 11, UttaraDhaka 1230,",info@ananta.com.bd,1713199799,https://www.ananta.com.bd/
